136287143s |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/05/05 - 19:11:46 | 200 |    7.738821ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:11:56 | 200 |   12.545806ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:12:22 | 200 |   13.507106ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:12:58 | 200 |    9.018068ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:13:34 | 200 |    7.703939ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:14:10 | 200 |     8.30077ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:14:46 | 200 |    7.549312ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:15:22 | 200 |    9.026096ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:15:58 | 200 |    8.547229ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:16:34 | 200 |   15.719861ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:17:10 | 200 |   22.073399ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:17:46 | 200 |   13.441513ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:18:22 | 200 |   14.237461ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:18:58 | 200 |      7.9123ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:19:34 | 200 |     8.42454ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:20:10 | 200 |   20.285544ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:20:46 | 200 |   13.834416ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:21:22 | 200 |     7.82941ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:21:58 | 200 |    8.189964ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:22:34 | 200 |    7.977562ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:23:10 | 200 |   13.628118ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:23:46 | 200 |   13.792116ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:24:22 | 200 |    8.046549ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:24:58 | 200 |    7.608489ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:25:34 | 200 |   14.021339ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:26:10 | 200 |   14.494752ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:26:46 | 200 |   13.537619ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:27:22 | 200 |    7.633787ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:27:58 | 200 |    7.611932ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:28:34 | 200 |    8.471781ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:29:10 | 200 |    7.727706ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:29:46 | 200 |    8.000214ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:30:22 | 200 |    7.691634ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:30:58 | 200 |    7.779835ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:31:34 | 200 |    8.155573ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:32:10 | 200 |    10.02307ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:32:46 | 200 |    7.918145ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:33:22 | 200 |    7.900157ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:33:58 | 200 |   10.689262ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:34:34 | 200 |    7.696382ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:35:10 | 200 |     8.70712ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:35:46 | 200 |    8.266533ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:36:22 | 200 |   76.991715ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:36:58 | 200 |    7.954449ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/05/05 - 19:37:34 | 200 |    7.505371ms |       127.0.0.1 | GET      "/api/tags"
